year,season,season_link,winner,actor,actor_link,role,role_link,play,play_link
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Billy Crudup,https://en.wikipedia.org/wiki/Billy_Crudup,John Merrick,https://en.wikipedia.org/wiki/Joseph_Merrick,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play)
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Liam Neeson,https://en.wikipedia.org/wiki/Liam_Neeson,John Proctor,https://en.wikipedia.org/wiki/John_Proctor_(Salem_witch_trials),The Crucible,https://en.wikipedia.org/wiki/The_Crucible
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Brian Dennehy,https://en.wikipedia.org/wiki/Brian_Dennehy,James Tyrone Sr.,,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Brian Bedford,https://en.wikipedia.org/wiki/Brian_Bedford,Orgon,,Tartuffe,https://en.wikipedia.org/wiki/Tartuffe
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Eddie Izzard,https://en.wikipedia.org/wiki/Eddie_Izzard,Bri,,A Day in the Death of Joe Egg,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Paul Newman,https://en.wikipedia.org/wiki/Paul_Newman,Stage Manager,,Our Town,https://en.wikipedia.org/wiki/Our_Town
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Stanley Tucci,https://en.wikipedia.org/wiki/Stanley_Tucci,Johnny,,Frankie and Johnny in the Clair de Lune,https://en.wikipedia.org/wiki/Frankie_and_Johnny_in_the_Clair_de_Lune
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Frank Langella,https://en.wikipedia.org/wiki/Frank_Langella,Tobi,,Match,https://en.wikipedia.org/wiki/Match_(play)
2004,58th Tony Awards,/wiki/58th_Tony_Awards,True,Jefferson Mays,https://en.wikipedia.org/wiki/Jefferson_Mays,"Charlotte von Mahlsdorf,et al.",https://en.wikipedia.org/wiki/Charlotte_von_Mahlsdorf,I Am My Own Wife,https://en.wikipedia.org/wiki/I_Am_My_Own_Wife
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Simon Russell Beale,https://en.wikipedia.org/wiki/Simon_Russell_Beale,George,,Jumpers,https://en.wikipedia.org/wiki/Jumpers_(play)
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Kevin Kline,https://en.wikipedia.org/wiki/Kevin_Kline,Sir John Falstaff,https://en.wikipedia.org/wiki/Falstaff,Henry IV,"https://en.wikipedia.org/wiki/Henry_IV,_Part_1"
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Christopher Plummer,https://en.wikipedia.org/wiki/Christopher_Plummer,King Lear,https://en.wikipedia.org/wiki/Leir_of_Britain,King Lear,https://en.wikipedia.org/wiki/King_Lear
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Brían F. O'Byrne,https://en.wikipedia.org/wiki/Br%C3%ADan_F._O%27Byrne,Father Flynn,,Doubt,https://en.wikipedia.org/wiki/Doubt_(play)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Billy Crudup,https://en.wikipedia.org/wiki/Billy_Crudup,Katurian,,The Pillowman,https://en.wikipedia.org/wiki/The_Pillowman
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,James Earl Jones,https://en.wikipedia.org/wiki/James_Earl_Jones,Norman Thayer Jr.,,On Golden Pond,https://en.wikipedia.org/wiki/On_Golden_Pond_(play)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Bill Irwin,https://en.wikipedia.org/wiki/Bill_Irwin,George,,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Philip Bosco,https://en.wikipedia.org/wiki/Philip_Bosco,Juror #3,,Twelve Angry Men,https://en.wikipedia.org/wiki/Twelve_Angry_Men_(play)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,David Wilmot,https://en.wikipedia.org/wiki/David_Wilmot_(actor),Padraic,,The Lieutenant of Inishmore,https://en.wikipedia.org/wiki/The_Lieutenant_of_Inishmore
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Oliver Platt,https://en.wikipedia.org/wiki/Oliver_Platt,John,,Shining City,https://en.wikipedia.org/wiki/Shining_City
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Richard Griffiths,https://en.wikipedia.org/wiki/Richard_Griffiths,Douglas Hector,,The History Boys,https://en.wikipedia.org/wiki/The_History_Boys
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Ralph Fiennes,https://en.wikipedia.org/wiki/Ralph_Fiennes,Francis Hardy,,Faith Healer,https://en.wikipedia.org/wiki/Faith_Healer
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Željko Ivanek,https://en.wikipedia.org/wiki/%C5%BDeljko_Ivanek,Lt. Com. Phillip Francis Queeg,,The Caine Mutiny Court-Martial,https://en.wikipedia.org/wiki/The_Caine_Mutiny_Court-Martial
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Frank Langella,https://en.wikipedia.org/wiki/Frank_Langella,Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon,Frost/Nixon,https://en.wikipedia.org/wiki/Frost/Nixon_(play)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Boyd Gaines,https://en.wikipedia.org/wiki/Boyd_Gaines,Lieut. Osborne,,Journey's End,https://en.wikipedia.org/wiki/Journey%27s_End
